_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry,Latitude,Longitude,area,score
1497,788,13866,L'AMOREAUX COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",2000 MCNICOLL AVE,416-396-4510,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=788,"{""coordinates"": [[-79.3050561969343, 43.812611473843]], ""type"": ""MultiPoint""}",43.812611473843,-79.3050561969343,other,0.39499151249313347
1498,1463,2065,EDITHVALE COMMUNITY CENTRE,Community Centre,Wi-Fi,131 FINCH AVE W,416-395-6164,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1463,"{""coordinates"": [[-79.4263811008628, 43.7769381016352]], ""type"": ""MultiPoint""}",43.7769381016352,-79.4263811008628,other,0.26149019011388575
1499,771,1075,VICTORIA VILLAGE ARENA,Community Centre,"Washroom, Wi-Fi",190 BERMONDSEY RD,416-395-0143,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=771,"{""coordinates"": [[-79.3156334888003, 43.7231898027645]], ""type"": ""MultiPoint""}",43.7231898027645,-79.3156334888003,other,0.4
1500,272,2103,ST. LAWRENCE COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",230 THE ESPLANADE,416-392-1347,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=272,"{""coordinates"": [[-79.3649478648238, 43.6497591165374]], ""type"": ""MultiPoint""}",43.6497591165374,-79.3649478648238,waterfront,0.7886689805756445
1501,13,4,ADAM BECK COMMUNITY CENTRE,Community Centre,Washroom,79 LAWLOR AVE,416-392-0741,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=13,"{""coordinates"": [[-79.2886642633145, 43.6830787603616]], ""type"": ""MultiPoint""}",43.6830787603616,-79.2886642633145,other,0.30000000000000004
1502,507,2051,BIRCHMOUNT COMMUNITY CENTRE,Community Centre,"Washroom, Wi-Fi",93 BIRCHMOUNT RD,416-396-4311,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=507,"{""coordinates"": [[-79.2621805292273, 43.6954854321372]], ""type"": ""MultiPoint""}",43.6954854321372,-79.2621805292273,other,0.35981574650489967
1503,567,1715,DOUGLAS SNOW AQUATIC CENTRE,Community Centre,"Washroom, Wi-Fi",5100 YONGE ST,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=567,"{""coordinates"": [[-79.4153038932578, 43.7671270411399]], ""type"": ""MultiPoint""}",43.7671270411399,-79.4153038932578,other,0.6241263606760894
1504,913,13014,CENTENNIAL PARK ARENA - ETOBICOKE,Community Centre,"Washroom, Wi-Fi",156 CENTENNIAL PARK RD,416-394-8756,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=913,"{""coordinates"": [[-79.5858757330211, 43.6560858115455]], ""type"": ""MultiPoint""}",43.6560858115455,-79.5858757330211,other,0.4
1505,743,925,SCARBOROUGH VILLAGE RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",3600 KINGSTON RD,416-396-4048,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=743,"{""coordinates"": [[-79.2165968637095, 43.7401721550363]], ""type"": ""MultiPoint""}",43.7401721550363,-79.2165968637095,other,0.4
1506,289,105,BIRKDALE COMMUNITY CENTRE,Community Centre,"Washroom, Wi-Fi",1299 ELLESMERE RD,416-396-4069,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=289,"{""coordinates"": [[-79.2638682534984, 43.7682291405724]], ""type"": ""MultiPoint""}",43.7682291405724,-79.2638682534984,other,0.4
1507,568,13022,DOWNSVIEW ARENA,Community Centre,"Washroom, Wi-Fi",1633 WILSON AVE,416-395-7831,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=568,"{""coordinates"": [[-79.5126109653032, 43.7190264399552]], ""type"": ""MultiPoint""}",43.7190264399552,-79.5126109653032,other,0.20592327983653916
